Day,Cash ($M),Liquid Assets ($M),Remaining Deposits ($M),LCR (%),Cash Reserve Ratio (%),Scenario,Collateral Required ($M),Market Move (%),Cash Recovered from Sales ($M),Value Destroyed ($M),Available Funding ($M),Funding Gap ($M)
1,350.0,800.0,1800.0,17.17,19.44,Bank Run,,,,,,
2,220.0,800.0,1620.0,16.67,13.58,Bank Run,,,,,,
3,108.0,800.0,1458.0,16.21,7.41,Bank Run,,,,,,
4,12.2,800.0,1312.2,15.83,0.93,Bank Run,,,,,,
5,0.0,800.0,1180.98,17.27,0.0,Bank Run,,,,,,
6,0.0,800.0,1062.88,19.19,0.0,Bank Run,,,,,,
7,0.0,800.0,956.59,21.33,0.0,Bank Run,,,,,,
8,0.0,800.0,860.93,23.7,0.0,Bank Run,,,,,,
9,0.0,800.0,774.84,26.33,0.0,Bank Run,,,,,,
10,0.0,800.0,697.36,29.25,0.0,Bank Run,,,,,,
11,0.0,800.0,627.62,32.5,0.0,Bank Run,,,,,,
12,0.0,800.0,564.86,36.12,0.0,Bank Run,,,,,,
13,0.0,800.0,508.37,40.13,0.0,Bank Run,,,,,,
14,0.0,800.0,457.54,44.59,0.0,Bank Run,,,,,,
15,4.25,800.0,411.78,49.85,1.03,Bank Run,,,,,,
16,13.07,800.0,370.6,56.1,3.53,Bank Run,,,,,,
17,26.01,800.0,333.54,63.5,7.8,Bank Run,,,,,,
18,42.65,800.0,300.19,72.22,14.21,Bank Run,,,,,,
19,62.63,800.0,270.17,82.46,23.18,Bank Run,,,,,,
20,85.62,800.0,243.15,94.46,35.21,Bank Run,,,,,,
21,111.3,800.0,218.84,108.48,50.86,Bank Run,,,,,,
22,139.42,800.0,196.95,124.81,70.79,Bank Run,,,,,,
23,169.72,800.0,177.26,143.81,95.75,Bank Run,,,,,,
24,202.0,800.0,159.53,165.86,126.62,Bank Run,,,,,,
25,236.04,800.0,143.58,191.4,164.4,Bank Run,,,,,,
26,271.69,800.0,129.22,220.94,210.25,Bank Run,,,,,,
27,308.76,800.0,116.3,255.06,265.49,Bank Run,,,,,,
28,347.13,800.0,104.67,294.39,331.65,Bank Run,,,,,,
29,386.67,800.0,94.2,339.69,410.46,Bank Run,,,,,,
30,427.25,800.0,84.78,391.8,503.93,Bank Run,,,,,,
1,501.99,800.0,,1308.51,25.1,Margin Call,63.01,-1.25,,,,
